46, 4480, 574, 255, 14, 150, 21, 364, 111, 26
45, 11244, 1524, 541, 57, 264, 78, 658, 228, 80 
47, 8999, 1332, 471, 28, 142, 50, 493, 181, 121 
49, 7173, 1155, 374, 34, 70, 24, 491, 142, 56 
54, 5457, 1029, 407, 8, 101, 28, 355, 120, 52 
55, 4321, 548, 425, 13, 46, 18, 317, 62, 76 
48, 3321, 374, 233, 8, 18, 14, 302, 45, 32 
50, 3371, 439, 209, 6, 12, 16, 243, 46, 20 
51, 4421, 560, 337, 6, 38, 21, 327, 69, 52 
55, 7355, 880, 390, 34, 50, 46, 430, 135, 49 
50, 9323, 1042, 621, 44, 66, 76, 486, 124, 68 
53, 11522, 1235, 537, 42, 142, 32, 555, 302, 54 
45, 13045, 1667, 655, 42, 114, 64, 644, 397, 99 
44, 9980, 1322, 568, 28, 84, 32, 423, 248, 94 
53, 14213, 2106, 812, 102, 142, 60, 587, 497, 532 
47, 14370, 2225, 749, 78, 285, 80, 619, 368, 237 
50, 12622, 2025, 746, 48, 116, 74, 606, 231, 198 
44, 14557, 2000, 710, 32, 199, 103, 637, 329, 128 
44, 9081, 1475, 461, 16, 86, 124, 410, 292, 65 
50, 14104, 2169, 713, 36, 219, 62, 571, 279, 144 
53, 15228, 2528, 699, 45, 127, 80, 636, 598, 118
50, 17489, 2632, 1014, 79, 310, 43, 765, 656, 142
52, 20235, 2682, 1295, 133, 193, 128, 852, 1449, 121
45, 5466, 763, 589, 32, 54, 32, 362, 335, 50
